artist,origin,school,art_movement,FirstYear,LastYear,Places
Giovanni Battista Caccini,West,,,,,
Francis van Bossuit,West,,,,,
Hendrik van Schuylenburgh,West,,,,,
Edouard Manet,West,,,,,
Henri de Toulouse-Lautrec,West,,,,,
Anthonie Grill,West,,,,,
Edvard Munch,West,,,,,
Carl J. Kleingrothe,West,,,,,
Hendrik de Keyser (II),West,,,,,
Toon Dupuis,West,,,,,
Werner van den Valckert,West,,,,,
Charles Howard Hodges,West,,,,,
Dirck Barendsz.,West,,,,,
Jan de Bray,West,,,,,
Claude Monet,West,,,,,
Rachel Ruysch,West,,,,,
Joos de Momper (II),West,,,,,
Wijnand Nuijen,West,,,,,
Pieter Gerardus van Os,West,,,,,
Aert Pietersz.,West,,,,,
Salomon van Ruysdael,West,,,,,
Hendrikus van de Sande Bakhuyzen,West,,,,,
Cornelis Springer,West,,,,,
Jacob Coeman,West,,,,,
Jacob de Gheyn (II),West,,,,,
Pieter Gijsels,West,,,,,
Carel Lodewijk Hansen,West,,,,,
Maarten van Heemskerck,West,,,,,
Meindert Hobbema,West,,,,,
Judith Leyster,West,,,,,
Master of the Figdor Deposition,West,,,,,
Abraham Mignon,West,,,,,
Martinus Schouman,West,,,,,
Johan Heinrich Neuman,West,,,,,
Pieter van Edingen,West,,,,,
Johan van den Eynde,West,,,,,
Johannes Lutma (I),West,,,,,
Adam Willaerts,West,,,,,
Dirk Westrik,West,,,,,
De Roos,West,,,,,
Leendert Claesz,West,,,,,
Andele Andeles,West,,,,,
Girolamo Campagna,West,,,,,
Artus Quellinus (I),West,,,,,
Rombout Verhulst,West,,,,,
Simon Troger,West,,,,,
Cornelis Anthonisz.,West,,,,,
Adriaen Symonsz. Rottermont,West,,,,,
David Bailly,West,,,,,
Tegelbakkerij aan de Delftschevaart,West,,,,,
Rafaël,West,,,,,
Giovanni Battista Tiepolo,West,,,,,
Christiaan Andriessen,West,,,,,
Philips Galle,West,,,,,
Jan Brandes,West,,,,,
Meester van de Dobbelsteen,West,,,,,
Carl Emanuel Friedrich Lang,West,,,,,
Grofsmederij Leiden,West,,,,,
Alexander de Lavaux,West,,,,,
Dirck Vellert,West,,,,,
Franz Xaver Fortner,West,,,,,
Gillis van Scheyndel (I),West,,,,,
Simon Frisius,West,,,,,
J. Terwen-de Loos,West,,,,,
Cornelis Visscher (II),West,,,,,
Pieter Isaacsz.,West,,,,,
Roelant Roghman,West,,,,,
Johannes Mattheus van Kempen,West,,,,,
Enthoven & Co.,West,,,,,
Dick Ket,West,,,,,
Eadweard Muybridge,West,,,,,
Caesar Boëtius van Everdingen,West,,,,,
Jan Davidsz. de Heem,West,,,,,
Jan Cornelisz Vermeyen,West,,,,,
Jan van Huysum,West,,,,,
Pieter de Ring,West,,,,,
Otto van Veen,West,,,,,
Pauwels van Hillegaert,West,,,,,
Adam van Breen,West,,,,,
Jan Jansz Mostaert,West,,,,,
Frans Zwollo (I),West,,,,,
Arnt van Tricht,West,,,,,
Willem Danielsz. van Tetrode,West,,,,,
Severo Calzetta da Ravenna,West,,,,,
Pieter Xaveri,West,,,,,
Gerard van Bylaer,West,,,,,
Dirk Jacobsz.,West,,,,,
Dirk van Rijswijck,West,,,,,
Cornelis van Poelenburch,West,,,,,
O. Hisgen & Co.,West,,,,,
Meester van de Bileam,West,,,,,
Simon de Vlieger,West,,,,,
Pieter Zöllner,West,,,,,
Pierre Gole,West,,,,,
Jan de Baen,West,,,,,
Quiringh Gerritsz. van Brekelenkam,West,,,,,
Cornelis Claesz. van Wieringen,West,,,,,
Hendrik Cornelisz. Vroom,West,,,,,
Friedrich Carl Albert Schreuel,West,,,,,
Aert de Gelder,West,,,,,
Hans Horions,West,,,,,
Philips Koninck,West,,,,,
Elias Scerpswert,West,,,,,
Jan Jansz. van de Velde (III),West,,,,,
Philips Wouwerman,West,,,,,
Pieter Wouwerman,West,,,,,
Hendrik Willem Mesdag,West,,,,,
Jan Ekels (II),West,,,,,
Karel van Mander (I),West,,,,,
"Gellée (genaamd Le Lorrain) , Claude",West,,,,,
Joos van Cleve,West,,,,,
Dirk Valkenburg,West,,,,,
Wilhelm de Pannemaker,West,,,,,
Het Moriaanshooft,West,,,,,
Anne Louis Girodet-Trioson,West,,,,,
Maria Tesselschade Roemers Visscher,West,,,,,
Jacob de Gheyn (III),West,,,,,
Cornelis Beets,West,,,,,
Johan Pietersz. Smout,West,,,,,
Ludolf Bakhuysen,West,,,,,
Cornelis Bisschop,West,,,,,
Reinier Nooms,West,,,,,
Marco Dente,West,,,,,
Herman van Swanevelt,West,,,,,
C. Meuven & Zoon,West,,,,,
Dirk Froger,West,,,,,
Frans Francken (II),West,,,,,
Johann Friedrich August Tischbein,West,,,,,
Tethart Philip Christian Haag,West,,,,,
Jean Augustin Daiwaille,West,,,,,
Aert van der Neer,West,,,,,
Adam Pijnacker,West,,,,,
Johan de la Rocquette,West,,,,,
Willem Roelofs (I),West,,,,,
Joachim von Sandrart,West,,,,,
Jan Brueghel (I),West,,,,,
Pieter Codde,West,,,,,
Raden Sarief Bastaman Saleh,West,,,,,
Juriaen Jacobsz.,West,,,,,
Johannes Jelgerhuis,West,,,,,
Master of the Spes Nostra,West,,,,,
Louis Métayer,West,,,,,
Johannes Schiotling,West,,,,,
Gebroeders Horrix,West,,,,,
Martinus Nellius,West,,,,,
Adriaen Hanneman,West,,,,,
Thomas de Keyser,West,,,,,
Cornelis de Man,West,,,,,
Jacob de Wit,West,,,,,
Nicolaes Knüpfer,West,,,,,
Barend Cornelis Koekkoek,West,,,,,
Meester Bernhuser,West,,,,,
Francisco Enriquez,West,,,,,
René Lalique,West,,,,,
François Spierinx,West,,,,,
Willem Andriesz. de Raet,West,,,,,
Dirck Pietersz. Crabeth,West,,,,,
Paulus Joseph Gabriël,West,,,,,
Frans Stracké,West,,,,,
Bart van Hove,West,,,,,
Jacques Francois Joseph Saly,West,,,,,
Roelant Savery,West,,,,,
Pieter Coecke van Aelst (I),West,,,,,
Adam Loofs,West,,,,,
Adriaen Matham,West,,,,,
Jan van der Heyden,West,,,,,
Pseudo Jan Wellens de Cock,West,,,,,
Jan Saenredam,West,,,,,
Daniel Vertangen,West,,,,,
William Low,West,,,,,
Paul Gauguin,West,,,,,
Umetada,West,,,,,
Hein J. Maessen,West,,,,,
Balthazar van den Bos,West,,,,,
Henri Joseph van Blarenberghe,West,,,,,
François Boitard,West,,,,,
Gerard van Groeningen,West,,,,,
Johannes Gronsveld,West,,,,,
Gerard de Groos,West,,,,,
Willem Gruyter (Jr.),West,,,,,
Michiel van der Gucht,West,,,,,
Pieter van Gunst,West,,,,,
Remigius Adrianus Haanen,West,,,,,
L. Hachin,West,,,,,
Willem van Haecht (II),West,,,,,
Nicolaes van Haeften,West,,,,,
Wilhelmus ten Haegh,West,,,,,
Adriaen Haelwegh,West,,,,,
Albert Haelwegh,West,,,,,
Abraham de Haen (II),West,,,,,
Willem de Haen,West,,,,,
Jan van Haensbergen,West,,,,,
Anthonij van der Haer,West,,,,,
Christiaan Hagen,West,,,,,
Jacob Houbraken,West,,,,,
Zokoku,West,,,,,
Shokasai,West,,,,,
Shojo,West,,,,,
Ritsuô,West,,,,,
Sesshu,West,,,,,
Mitsunaga,West,,,,,
Jean Baptiste Pillement,West,,,,,
Jean Baptiste François Pater,West,,,,,
Hubert Robert,West,,,,,
Gabriel Jacques de Saint-Aubin,West,,,,,
Augustin de Saint-Aubin,West,,,,,
Gaspar de Crayer,West,,,,,
Maurits Verveer,West,,,,,
Downes & Co. Cundall,West,,,,,
Caldesi & Co. Bernieri,West,,,,,
C.W. Bauer,West,,,,,
Rudolph Guicherit,West,,,,,
Gustave Le Gray,West,,,,,
Henri Sallembier,West,,,,,
H.F. Oelrichs,West,,,,,
X,West,,,,,
Berthaud,West,,,,,
Carl Haack,West,,,,,
Pieter van der Keere,West,,,,,
Johannes van der Kellen,West,,,,,
David van der Kellen (III),West,,,,,
David van der Kellen (II),West,,,,,
Joost van Geel,West,,,,,
Paulus Kerkhof,West,,,,,
Theodorus van Kessel,West,,,,,
Christiaan Lodewijk van Kesteren,West,,,,,
Hendrik Keun,West,,,,,
Jurriaan Andriessen,West,,,,,
Pieter Pietersz. Barbiers,West,,,,,
Pieter Bartholomeusz. Barbiers,West,,,,,
Jean Bernard,West,,,,,
Pieter Intesz Kingma,West,,,,,
Johannes Kip,West,,,,,
Govert Kitsen,West,,,,,
Cornelis van Kittensteyn,West,,,,,
Simon Klapmuts,West,,,,,
David Kleyne,West,,,,,
Hendrik Abraham Klinkhamer,West,,,,,
Hendrik Kloekhoff,West,,,,,
Johannes Klopper,West,,,,,
Hendrik Kobell,West,,,,,
Jan Kobell (I),West,,,,,
Jan de Beijer,West,,,,,
Johannes de Bosch,West,,,,,
G.J. Marstaller,West,,,,,
Pieter Franciscus Martenasie,West,,,,,
Benjamin Martini,West,,,,,
David Johannes Martini,West,,,,,
Jan Martszen de Jonge,West,,,,,
Jacob Matham,West,,,,,
Maerten de Vos,West,,,,,
Hieronymus Wierix,West,,,,,
Willem de Zwart,West,,,,,
Gerard Hoet (I),West,,,,,
Quinten Massijs (I),West,,,,,
Theodor Matham,West,,,,,
Jeremias Falck,West,,,,,
Jan Matthysz.,West,,,,,
Karel Hagenbeek,West,,,,,
Jan van Halbeeck,West,,,,,
Jean Joseph Hanson,West,,,,,
Cornelis van Hardenbergh,West,,,,,
Lambertus Hardenberg (1822-1900),West,,,,,
Lambertus Hardenberg (1744),West,,,,,
Johannes Hari (I),West,,,,,
Johannes Hari (II),West,,,,,
François Harrewijn,West,,,,,
Jacobus Harrewijn,West,,,,,
Joseph Hartogensis,West,,,,,
James Hazard,West,,,,,
Jan van den Hecke (I),West,,,,,
Abraham van den Hecken,West,,,,,
Jabes Heenck,West,,,,,
Gerrit Adriaensz. de Heer,West,,,,,
Cornelis A. Hellemans,West,,,,,
Nicolaes van Helt Stockade,West,,,,,
Hs. Henke,West,,,,,
Christian Henning,West,,,,,
Jan Heppener,West,,,,,
J. Hermans,West,,,,,
Jan Baptist Herregouts,West,,,,,
Jacob Herreyns (I),West,,,,,
Cecilia Barbiers,West,,,,,
Pieter Barbiers,West,,,,,
Willem de Heusch,West,,,,,
William Young Ottley,West,,,,,
Jacob van der Heyden,West,,,,,
Pieter van der Heyden,West,,,,,
Adriaen van der Werff,West,,,,,
Jan Jansz. Westerbaen (I),West,,,,,
Cornelis Wever,West,,,,,
Jan Wijnants,West,,,,,
Thomas Willeboirts Bosschaert,West,,,,,
Jürgen Ovens,West,,,,,
Pieter Oyens,West,,,,,
Anthonie Palamedesz.,West,,,,,
Jonas Zeuner,West,,,,,
Arnoud van Halen,West,,,,,
Dionys van Nijmegen,West,,,,,
Jan Maurits Quinkhard,West,,,,,
Clara Peeters,West,,,,,
Domenico Maggiotto,West,,,,,
Geo Poggenbeek,West,,,,,
Christiaan Julius Lodewijk Portman,West,,,,,
Hendrik Gerritsz. Pot,West,,,,,
Johannes Huibert Prins,West,,,,,
Pseudo-Ambrodigio di Baldese,West,,,,,
Pieter de Putter,West,,,,,
Jacob Symonsz Pynas,West,,,,,
David van der Plas,West,,,,,
Bastiaan de Poorter,West,,,,,
Jan van Ravenswaay,West,,,,,
Jan Antonisz van Ravesteyn,West,,,,,
Odilon Redon,West,,,,,
Guido Reni,West,,,,,
Maria Alexandrina Reuss (prinses van Saxen Weimar Eisenbach),West,,,,,
Gasparo Diziani,West,,,,,
Pieter Cornelisz. van Rijck,West,,,,,
Charles Rochussen,West,,,,,
Richard Roland Holst,West,,,,,
Johann Melchior Roos,West,,,,,
Jan Albertsz. Rotius,West,,,,,
Jacob van Walscapelle,West,,,,,
Pieter Jansz. van Ruyven,West,,,,,
Cornelis Saftleven,West,,,,,
Hercules Sanders,West,,,,,
Jacob Savery (II),West,,,,,
B. Schaak,West,,,,,
Godfried Schalcken,West,,,,,
Hendrik Jacobus Scholten,West,,,,,
Aert Schouman,West,,,,,
Johann Georg Schwartze,West,,,,,
Thérèse Schwartze,West,,,,,
Ferdinand Carl Sierich,West,,,,,
Karel Slabbaert,West,,,,,
Peter Snayers,West,,,,,
Jacobus Sörensen,West,,,,,
Hendrick Martensz. Sorgh,West,,,,,
Guillaume de Spinny,West,,,,,
Pieter Stalpaert,West,,,,,
Harmen Steenwijck,West,,,,,
Hendrik van Steenwijck (I),West,,,,,
Barend Graat,West,,,,,
Francesco Guardi,West,,,,,
Jan Hackaert,West,,,,,
Joris van der Haagen,West,,,,,
Egbert van Heemskerck (I),West,,,,,
Lodewijk van der Helst,West,,,,,
Wybrand Hendriks,West,,,,,
Paulus Hennekyn,West,,,,,
Gillis Claesz. de Hondecoeter,West,,,,,
Gijsbert Gillisz. de Hondecoeter,West,,,,,
Johan Barthold Jongkind,West,,,,,
Cornelis Jonson van Ceulen (I),West,,,,,
Jan Lodewijk Jonxis,West,,,,,
Jan van Kessel (1641-1680),West,,,,,
Henri Leys (baron),West,,,,,
Johannes Lingelbach,West,,,,,
Jacob Lambrechtsz. Loncke,West,,,,,
Robert Mussard,West,,,,,
Isaac Oliver,West,,,,,
Peter Oliver,West,,,,,
Jean Petitot (le vieux),West,,,,,
Felice Ramelli,West,,,,,
Nathaniel Thach,West,,,,,
Henri Toutin,West,,,,,
Willem Paulet,West,,,,,
Jozef Neuhuys,West,,,,,
Cornelis Kruseman,West,,,,,
Marie Duchatel,West,,,,,
Master of the Portraits of Princes,West,,,,,
Johannes Vinckboons,West,,,,,
Jean Frédéric Schall,West,,,,,
Leonardus Temminck,West,,,,,
Anton Raphaël Mengs,West,,,,,
Eugène Fromentin-Dupeux,West,,,,,
Pietro Longhi,West,,,,,
Lambert Sustris,West,,,,,
Nicolas Poussin,West,,,,,
Meester van de Madonna van La Gleize,West,,,,,
Hendrik Budde,West,,,,,
Jacobus Buys,West,,,,,
Petrus Camper,West,,,,,
Jacob Cats (1741-1799),West,,,,,
Willem van Senus,West,,,,,
Hendrik D. Jzn Sluyter,West,,,,,
John Smith (prentmaker/ uitgever),West,,,,,
Michael Snijders,West,,,,,
Virgilius Solis (I),West,,,,,
Hendrik Willem Caspari,West,,,,,
Gerrit Dadelbeek,West,,,,,
Joost Daams,West,,,,,
Johannes van Dregt,West,,,,,
Jan de Lairesse,West,,,,,
Gerrit Lamberts,West,,,,,
Gerrit Lambrechtsz,West,,,,,
Jan Lamsvelt,West,,,,,
Steven van Lamsweerde,West,,,,,
De 3 Klokjes,West,,,,,
Johannes Philippus Lange,West,,,,,
De Porceleyne Byl,West,,,,,
Hendrik Spilman,West,,,,,
Elisabeth Geertruida van de Kasteele,West,,,,,
Daniël Kerkhoff,West,,,,,
Jacob Smies,West,,,,,
Dirk Langendijk,West,,,,,
Camille Corot,West,,,,,
Charles Parrocel,West,,,,,
Felix Bonfils,West,,,,,
M. Bosse,West,,,,,
Munnich & Ermerins,West,,,,,
Vinkenbos & Dewald,West,,,,,
Léon & Lévy,West,,,,,
Étienne Neurdein,West,,,,,
A. Giraudon,West,,,,,
Stephen Thompson,West,,,,,
Hübner & Van Santen Roeloffzen,West,,,,,
Joop Siedenburg,West,,,,,
van Schijndel,West,,,,,
K shoes,West,,,,,
Johannes G. Kramer,West,,,,,
J.S.J. de Jongh,West,,,,,
Ottmar Elliger (II),West,,,,,
Carl Wilhelm de Hamilton,West,,,,,
Bartholomäus Hopfer (II),West,,,,,
Everaert Leyniers,West,,,,,
Johann Ulrich Loth,West,,,,,
Johann Mathias Kager,West,,,,,
Johann Georg Trautmann,West,,,,,
Johann Heinrich Roos,West,,,,,
Barbara Regina Dietzsch,West,,,,,
Johan Anspach,West,,,,,
Johann Christoph Dietzsch,West,,,,,
Wynant Haelwegh,West,,,,,
F. L. Hoffmann,West,,,,,
Daniel Nikolaus Chodowiecki,West,,,,,
Jean Baptiste Isabey,West,,,,,
La Femme Chic,West,,,,,
Jan Wandelaar,West,,,,,
Willem V (prins van Oranje-Nassau),West,,,,,
Abraham Delfos,West,,,,,
Gérard Albouy,West,,,,,
Egbert van Drielst,West,,,,,
Moyses van Wtenbrouck,West,,,,,
Claes Moeyaert,West,,,,,
Anthony van Zijlvelt,West,,,,,
Antoine Alexandre Joseph Cardon,West,,,,,
Jan Gerard Waldorp,West,,,,,
Antoine Cardon,West,,,,,
Samuel Henri Mendes da Costa,West,,,,,
Jacob de Backer,West,,,,,
Joan Berg,West,,,,,
Johanna Henriëtte Besier,West,,,,,
Gerard Jan Bos,West,,,,,
N. de Boubers,West,,,,,
J. Breuhaus de Groot,West,,,,,
Adriaen Brouwer,West,,,,,
Fredericus Jacobus van Rossum du Chattel,West,,,,,
Rudolphus Sondagh,West,,,,,
Johannes Lambertus Kroymans,West,,,,,
Ludolf Harmen Drooghstraedt,West,,,,,
Cornelis Knuysting,West,,,,,
Egidius Adelaar,West,,,,,
Claes Baardt,West,,,,,
Jan Luyting,West,,,,,
Dirk Wor,West,,,,,
Johannes van der Lely,West,,,,,
George Antoine Prosper Marilhat,West,,,,,
Huybert van de Berch,West,,,,,
Het Jonge Moriaanshooft,West,,,,,
Hendrik Jurrien Wolters,West,,,,,
Jacob Feeterse,West,,,,,
Jan Kemaer,West,,,,,
Albert Hachmann,West,,,,,
F. Breul,West,,,,,
Julien Le Roy,West,,,,,
Wybe Wijbrants,West,,,,,
David Bouquet,West,,,,,
John Wilkes (slotenmaker),West,,,,,
Jacques Jerôme Gudin,West,,,,,
John Smith (uurwerkmaker),West,,,,,
Edward Grant,West,,,,,
Johann Bock,West,,,,,
Jean Antoine Lépine,West,,,,,
Balsiger et Fils,West,,,,,
Dionysio Miseroni,West,,,,,
Engel Kran,West,,,,,
Baldem Mennicken,West,,,,,
Chris Lebeau,West,,,,,
Heinrich Aldegrever,West,,,,,
Wolfgang Huber,West,,,,,
Balthasar Wijntgens,West,,,,,
Pieter Remmers,West,,,,,
Cornelis Pronk,West,,,,,
Theodorus de Roode,West,,,,,
Cornelis van Noorde,West,,,,,
Michiel van Huysum,West,,,,,
Daniël Dupré,West,,,,,
Hendrik de Winter,West,,,,,
Caroline Reboux,West,,,,,
Johannes Elffers,West,,,,,
Frederic Gijzen,West,,,,,
François Gonord,West,,,,,
Philip van Gunst,West,,,,,
Frans Heylan,West,,,,,
Bramine Hubrecht,West,,,,,
Nicolaas Gerhard van Huffel,West,,,,,
George Jooss,West,,,,,
Karolus,West,,,,,
G.A. Karsen,West,,,,,
Gaspard Louis François van Kinschot,West,,,,,
Jacob van Eynden (I),West,,,,,
Maria Feitama,West,,,,,
Nicolaas Wicart,West,,,,,
Hermanus Fock,West,,,,,
Jacob Folkema,West,,,,,
Anna Maria Kruijff,West,,,,,
J. Kuyper,West,,,,,
W Merel (?) van,West,,,,,
Ferdinand Oldewelt,West,,,,,
Willem Steelink (II),West,,,,,
Willem Oppenoorth,West,,,,,
Pieter Philippe,West,,,,,
Roeland van Eynden,West,,,,,
Engelbertus Matthias Engelberts,West,,,,,
Simon Fokke,West,,,,,
Adriaan Pit,West,,,,,
Johann Sadeler (I),West,,,,,
Herman Johannes van der Weele,West,,,,,
Hendrik Noël Natalis,West,,,,,
Jan Geldolfs Hoghenzoon,West,,,,,
Jacob Pfaff,West,,,,,
John Cooqus,West,,,,,
Firma W. Vinke Larsen,West,,,,,
Martin Guillaume Biennais,West,,,,,
Jean Baptiste Claude Odiot,West,,,,,
Jacques-Nicolas Roëttiers,West,,,,,
Lazare Antoine Clérin,West,,,,,
Noël Hardivillier,West,,,,,
Jean George,West,,,,,
René-Jean Lemoyne,West,,,,,
Pierre Louteau,West,,,,,
Johannes Engelbrecht,West,,,,,
Lambertus Hannosset,West,,,,,
Samuel Vercoigne,West,,,,,
Esther Meyer,West,,,,,
Adolphe Félix Cals,West,,,,,
Johannes Grill,West,,,,,
Jacobus Rensing,West,,,,,
Reynier Brandt,West,,,,,
Johannes Horstman,West,,,,,
Jan Aernout Bos,West,,,,,
Claes Hansen,West,,,,,
Diederik Lodewijk Bennewitz,West,,,,,
Gerard Sterzenbach,West,,,,,
Eusebius Willem Voet,West,,,,,
Johannis Logerath,West,,,,,
Reinier van Persijn,West,,,,,
François Joseph Pfeiffer (II),West,,,,,
François Joseph Pfeiffer (I),West,,,,,
Willem Tolhuys,West,,,,,
De Vergulde Blompot,West,,,,,
De Klaauw,West,,,,,
Drie Posteleyne Astonne,West,,,,,
't Fortuyn,West,,,,,
De Drie Porceleyne Flessies,West,,,,,
De Drie Posteleyne Astonne,West,,,,,
De Witte Ster,West,,,,,
De Porceleijne Lampetkan,West,,,,,
De Lampetkan,West,,,,,
Frans van Stampart,West,,,,,
David Alphonse de Sandoz-Rollin (Baron),West,,,,,
Thomas Hearne,West,,,,,
James Barry,West,,,,,
Hugh William Williams,West,,,,,
John Linnell (II),West,,,,,
Jan van Almeloveen,West,,,,,
Jan van Aken,West,,,,,
Caspar Luyken,West,,,,,
Jan Luyken,West,,,,,
Pieter van Cuyck (I),West,,,,,
Herman Breckerveld,West,,,,,
Crispijn van den Broeck,West,,,,,
Theodoor Wilkens,West,,,,,
Johannes Ziesenis,West,,,,,
Bartholomeus Ziesenis,West,,,,,
Jacoba van Heemskerck,West,,,,,
Adolf Verschuyl,West,,,,,
Isaac Walraven,West,,,,,
Meester van de Dood van Absalom,West,,,,,
